Code,Name,Category,Risk Category,Risk,Upskill Effort,Setup Effort,Recurring effort,Effort,Maturity,Created,Updated,When,Regular,ExternalTeam,Team Size,OldWhen,CGovReview,Order Discovered,Cost/Benefit,Will you get fired,Marinated Importance,Lead time (weeks),Dependency prep (effort required working on things that feed into this tool or process),Idea?,,Help,Applicability,Whatisit,Riskifskipped,Howlong,UserGuide,Help
SecOGC,Security Operation Guardrails Checklist,Security,Infra,1,5,2,,8,1 - Adhoc,2023-02-18,2023-02-18,6 - Pre-Delivery,Regular,,16,4 - Yearly,,37,0.125,,,,,,,,,,,,,
SecR,Security Review,Security,Infra,2,3,5,,9,1 - Adhoc,2023-02-18,2023-02-18,1 - Pre-Dev,Regular,Infosec,5,1 - Dev,,27,0.2222222222,,,,5,,,,,,,,,
Soc2,SOC2,Security,Infra,1,10,3,,14,1 - Adhoc,2023-02-18,2023-02-18,5 - Development,,Infosec,20,4 - Yearly,,34,0.07142857143,,,,,,,,,,,,,
SofHM,Software Health Metrics,Maintainability,Maintenance,2,2,1,,4,4 - Measured,2019-01-12,2019-01-12,5 - Development,Regular,,3,4 - Yearly,,12,0.5,,,,,,,,,,,,,
SonQ,SonarQube,Maintainability,Code,1,1,1,,3,4 - Measured,2019-01-10,2019-01-10,5 - Development,,,5,2 - Notify,Yes,10,0.3333333333,,,,,,,,,,,,,
SquHM,Squad Health Metrics,Operations,Maintenance,1,1,1,,3,4 - Measured,2019-01-20,2019-01-20,6 - Pre-Delivery,Regular,,5,4 - Yearly,,20,0.3333333333,,,,,,,,,,,,,
SupM,Support Model,Operations,Maintenance,1,5,1,,7,3 - Defined,2019-01-23,2019-01-23,7 - Delivery,,,10,1 - Dev,,23,0.1428571429,,,,,,,,,,,,,
TecOR,Technology Operations Review,Operations,Maintenance,2,5,5,,11,1 - Adhoc,2023-02-18,2023-02-18,1 - Pre-Dev,Regular,SRE Infosec Platform,7,4 - Yearly,,33,0.1818181818,,,,,,,,,,,,,
TecR,Technical Reference,Maintainability,Maintenance,1,3,2,,6,3 - Defined,2019-01-05,2019-01-05,6 - Pre-Delivery,,,12,1 - Dev,Yes,5,0.1666666667,,,,,,,,,,,,,
Ten,Tenable,Security Scanner,Infra,1,3,5,,9,3 - Defined,2023-02-18,2019-01-26,9 - After Deploy,,,9,2 - Notify,,26,0.1111111111,,,,,,,,,,,,,
ThrM,Threat Modelling,Security,Code,3,10,2,,13,3 - Defined,2019-01-02,2019-01-02,1 - Pre-Dev,,,4,1 - Dev,Yes,2,0.2307692308,,,,,,,,,,,,,
TORD,Technology Operations Review Dashboard,Operations,Maintenance,2,5,2,,3,1 - Adhoc,2023-03-01,2023-03-01,4 - Local Dev,Regular,SRE Infosec Platform,15,1 - Dev,,42,0.6666666667,,,,,,,,,,,,,
WelAR,AWS Well-Architected Review,Operations,Code,1,5,5,1,12,3 - Defined,2019-01-01,2019-01-01,2 - Start dev,Regular,,8,4 - Yearly,Yes,1,0.08333333333,,,,,,,,,,,,,
Xray,Xray,Security Scanner,Infra,1,3,3,,7,3 - Defined,2023-02-18,2019-01-25,7 - Delivery,,,8,2 - Notify,,25,0.1428571429,,,,,,,,,,,,,
Zap,Zap,Security Scanner,Infra,1,3,3,,7,1 - Adhoc,2023-02-18,2023-02-18,7 - Delivery,,,14,2 - Notify,,30,0.1428571429,,,,,,,,,,,,,
