Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
32	SPFIXDEV	SPTMPNXDS	FIXPLUSTE ORH secondary SPFIXPLUSFIXDEV5→NULL NULL	FIXPLUSTE	ORH secondary	SPFIXPLUSFIXDEV5	NULL	NULL		16																
33	SPFIXDEV	::1	FIXPLUSSRE TE->SPFIXDEV:18004 SPFIXPLUSFIXDEV5→NULL NULL	FIXPLUSSRE	TE->SPFIXDEV:18004	SPFIXPLUSFIXDEV5	NULL	NULL		16																
34	SPFIXDEV	::1	FIXPLUSSRE TE->SPFIXDEV:18001 SPFIXPLUSFIXDEV2→NULL NULL	FIXPLUSSRE	TE->SPFIXDEV:18001	SPFIXPLUSFIXDEV2	NULL	NULL		16																
35	SPFIXDEV	::1	FIXPLUSSRE TE->SPFIXDEV:18000 SPFIXPLUSFIXDEV1→NULL NULL	FIXPLUSSRE	TE->SPFIXDEV:18000	SPFIXPLUSFIXDEV1	NULL	NULL		16																
36	SPFIXDEV	SPTMPNXDS	IOSPLUSTE ORH primary IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	ORH primary	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
37	SPFIXDEV	172.17.126.163	IOSPLUSTE Depth IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	Depth	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
38	SPFIXDEV	::1	IOSPLUSTE ASX IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	ASX	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
39	SPFIXDEV	172.17.126.33	IOSPLUSTE CURRENEXTEST IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	CURRENEXTEST	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
40	SPFIXDEV	::1	IOSPLUSTE FIXPLUSTI IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	FIXPLUSTI	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
41	SPFIXDEV	::1	IOSPLUSTE SSX IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	SSX	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
42	SPFIXDEV	::1	IOSPLUSTE STRATEGYTI IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	STRATEGYTI	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
43	SPFIXDEV	::1	IOSPLUSTE TSX IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSTE	TSX	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
44	AU03-NSMIL-PC1	AU03-NSMIL-PC1	FIXPLUSSRE TE->AU03-NSMIL-PC1:18000 DEVNIKOLAFIXPLUS→NULL NULL	FIXPLUSSRE	TE->AU03-NSMIL-PC1:18000	DEVNIKOLAFIXPLUS	NULL	NULL		4																
45	AU03-NSMIL-PC1	IOSPLUSMKTSIM2	FIXPLUSTE ORH primary DEVNIKOLAFIXPLUS→NULL NULL	FIXPLUSTE	ORH primary	DEVNIKOLAFIXPLUS	NULL	NULL		4																
46	AU03-NSMIL-PC1	SPTxPNXDS	FIXPLUSTE ORH secondary DEVNIKOLAFIXPLUS→NULL NULL	FIXPLUSTE	ORH secondary	DEVNIKOLAFIXPLUS	NULL	NULL		4																
