Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0						Emotional Intelligence, by Daniel Goleman (book)			
1	0		Anger						Anger
2	1		Fury						Fury
3	1		Outrage						Outrage
4	1		Resentment						Resentment
5	1		Wrath						Wrath
6	1		Exasperation						Exasperation
7	1		Indignation						Indignation
8	1		Vexation						Vexation
9	1		Acrimony						Acrimony
10	1		Animosity						Animosity
11	1		Annoyance						Annoyance
12	1		Irritability						Irritability
13	1		Hostility						Hostility
14	1		Hatred						Hatred
15	0		Sadness						Sadness
16	15		Grief						Grief
17	15		Sorrow						Sorrow
18	15		Cheerlessness						Cheerlessness
19	15		Gloom						Gloom
20	15		Melancholy						Melancholy
21	15		Self-Pity						Self-Pity
22	15		Loneliness						Loneliness
23	15		Dejection						Dejection
24	15		Despair						Despair
25	15		Severe Depression						Severe Depression
26	0		Fear						Fear
27	26		Anxiety						Anxiety
28	26		Apprehension						Apprehension
29	26		Nervousness						Nervousness
30	26		Concern						Concern
31	26		Consternation						Consternation
32	26		Misgiving						Misgiving
33	26		Wariness						Wariness
34	26		Qualm						Qualm
35	26		Edginess						Edginess
36	26		Dread						Dread
37	26		Fright						Fright
38	26		Terror						Terror
39	26		Phobia						Phobia
40	26		Panic						Panic
41	0		Enjoyment						Enjoyment
42	41		Happiness						Happiness
43	41		Joy						Joy
44	41		Relief						Relief
45	41		Contentment						Contentment
46	41		Bliss						Bliss
47	41		Delight						Delight
48	41		Amusement						Amusement
49	41		Pride						Pride
50	41		Sensual Pleasure						Sensual Pleasure
51	41		Thrill						Thrill
52	41		Rapture						Rapture
53	41		Gratification						Gratification
54	41		Satisfaction						Satisfaction
55	41		Euphoria						Euphoria
56	41		Whimsy						Whimsy
57	41		Ecstasy						Ecstasy
58	41		Mania						Mania
59	0		Love						Love
60	59		Acceptance						Acceptance
61	59		Friendliness						Friendliness
62	59		Trust						Trust
63	59		Kindness						Kindness
64	59		Affinity						Affinity
65	59		Devotion						Devotion
66	59		Adoration						Adoration
67	59		Infatuation						Infatuation
68	59		Agape						Agape
69	0		Surprise						Surprise
70	69		Shock						Shock
71	69		Astonishment						Astonishment
72	69		Amazement						Amazement
73	69		Wonder						Wonder
74	0		Disgust						Disgust
75	74		Contempt						Contempt
76	74		Disdain						Disdain
77	74		Scorn						Scorn
78	74		Abhorrence						Abhorrence
79	74		Aversion						Aversion
80	74		Distaste						Distaste
81	74		Revulsion						Revulsion
82	0		Shame						Shame
83	82		Guilt						Guilt
84	82		Embarrassment						Embarrassment
85	82		Chagrin						Chagrin
86	82		Remorse						Remorse
87	82		Humiliation						Humiliation
88	82		Regret						Regret
89	82		Mortification						Mortification
90	82		Contrition						Contrition
