Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0			Feelings			Running on Empty by Jonice Webb			Feelings
1	0		Sad						Sad
2	1		Tearful						Tearful
3	1		Sorrowful						Sorrowful
4	1		Pained						Pained
5	1		Grief						Grief
6	1		Anguish						Anguish
7	1		Desperate						Desperate
8	1		Low						Low
9	1		Pessimistic						Pessimistic
10	1		Unhappy						Unhappy
11	1		Grieved						Grieved
12	1		Mournful						Mournful
13	1		Grave						Grave
14	1		Dismayed						Dismayed
15	1		Bummed						Bummed
16	1		Despondent						Despondent
17	1		Heavyhearted						Heavyhearted
18	1		Scorned						Scorned
19	1		Grey						Grey
20	1		Miserable						Miserable
21	1		Blue						Blue
22	1		Longing						Longing
23	1		Disappointed						Disappointed
24	1		Grim						Grim
25	1		Gloomy						Gloomy
26	1		Lost						Lost
27	1		Moody						Moody
28	1		Burdened						Burdened
29	1		Discouraged						Discouraged
30	1		Letdown						Letdown
32	0		Depressed						Depressed
33	32		Lousy						Lousy
34	32		Dysphoric						Dysphoric
35	32		Dreary						Dreary
36	32		Dark						Dark
37	32		Black						Black
38	32		Morose						Morose
39	32		Dour						Dour
40	32		Besieged						Besieged
41	32		Morbid						Morbid
42	32		Suicidal						Suicidal
43	32		Accursed						Accursed
44	32		Abysmal						Abysmal
45	32		Ashamed						Ashamed
46	32		Diminished						Diminished
47	32		Selfdestructive						Selfdestructive
48	32		Selfabasing						Selfabasing
49	32		Guilty						Guilty
50	32		Dissatisfied						Dissatisfied
51	32		Loathsome						Loathsome
52	32		Wornout						Wornout
53	32		Repugnant						Repugnant
54	32		Despicable						Despicable
55	32		Abominable						Abominable
56	32		Terrible						Terrible
57	32		Despairing						Despairing
58	32		Sulky						Sulky
59	32		Bad						Bad
60	32		Senseofloss						Senseofloss
62	0		Damaged						Damaged
63	62		Aberrant						Aberrant
64	62		Maimed						Maimed
65	62		Detestable						Detestable
66	62		Ruined						Ruined
67	62		Defiled						Defiled
68	62		Scarred						Scarred
69	62		Impure						Impure
70	62		Spoiled						Spoiled
71	62		Infected						Infected
72	62		Scathed						Scathed
73	62		Beleaguered						Beleaguered
74	62		Impaired						Impaired
75	62		Disgusting						Disgusting
76	62		Crippled						Crippled
77	62		Abhorred						Abhorred
78	62		Destroyed						Destroyed
79	62		Abnormal						Abnormal
80	62		Contaminated						Contaminated
81	62		Contemptible						Contemptible
83	0		Uncomfortable						Uncomfortable
84	83		Awkward						Awkward
85	83		Discomfit						Discomfit
86	83		Antsy						Antsy
87	83		Disturbed						Disturbed
88	83		Sickened						Sickened
89	83		Offbalance						Offbalance
90	83		Sour						Sour
91	83		Fidgety						Fidgety
92	83		Peculiar						Peculiar
93	83		Icky						Icky
94	83		Illtempered						Illtempered
95	83		Odd						Odd
96	83		Inappropriate						Inappropriate
97	83		Outofit						Outofit
98	83		Conspicuous						Conspicuous
99	83		Offcenter						Offcenter
100	83		Rotten						Rotten
101	83		Discontented						Discontented
103	0		Angry						Angry
104	103		Misanthropic						Misanthropic
105	103		Miffed						Miffed
106	103		Irritated						Irritated
107	103		Contemptuous						Contemptuous
108	103		Fiery						Fiery
109	103		Spiteful						Spiteful
