Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0						http://www.psychpage.com/learning/library/assess/feelings.html			
3	0		Open						Open
4	0		Happy						Happy
5	0		Alive						Alive
6	0		Good						Good
7	0		Love						Love
8	0		Interested						Interested
9	0		Positive						Positive
10	0		Strong						Strong
11	3		Understanding						Understanding
12	3		Confident						Confident
13	3		Reliable						Reliable
14	3		Easy						Easy
15	3		Amazed						Amazed
16	3		Free						Free
17	3		Sympathetic						Sympathetic
18	3		Interested						Interested
19	3		Satisfied						Satisfied
20	3		Receptive						Receptive
21	3		Accepting						Accepting
22	3		Kind						Kind
23	4		Great						Great
24	4		Gay						Gay
25	4		Joyous						Joyous
26	4		Lucky						Lucky
27	4		Fortunate						Fortunate
28	4		Delighted						Delighted
29	4		Overjoyed						Overjoyed
30	4		Gleeful						Gleeful
31	4		Thankful						Thankful
32	4		Important						Important
33	4		Festive						Festive
34	4		Ecstatic						Ecstatic
35	4		Satisfied						Satisfied
36	4		Glad						Glad
37	4		Cheerful						Cheerful
38	4		Sunny						Sunny
39	4		Merry						Merry
40	4		Elated						Elated
41	4		Jubilant						Jubilant
42	5		Playful						Playful
43	5		Courageous						Courageous
44	5		Energetic						Energetic
45	5		Liberated						Liberated
46	5		Optimistic						Optimistic
47	5		Provocative						Provocative
48	5		Impulsive						Impulsive
49	5		Free						Free
50	5		Frisky						Frisky
51	5		Animated						Animated
52	5		Spirited						Spirited
53	5		Thrilled						Thrilled
54	5		Wonderful						Wonderful
55	6		Calm						Calm
56	6		Peaceful						Peaceful
57	6		At ease						At ease
58	6		Comfortable						Comfortable
59	6		Pleased						Pleased
60	6		Encouraged						Encouraged
61	6		Clever						Clever
62	6		Surprised						Surprised
63	6		Content						Content
64	6		Quiet						Quiet
65	6		Certain						Certain
66	6		Relaxed						Relaxed
67	6		Serene						Serene
68	6		Free and easy						Free and easy
69	6		Bright						Bright
70	6		Blessed						Blessed
71	6		Reassured						Reassured
72	7		Loving						Loving
73	7		Considerate						Considerate
74	7		Affectionate						Affectionate
75	7		Sensitive						Sensitive
76	7		Tender						Tender
77	7		Devoted						Devoted
78	7		Attracted						Attracted
79	7		Passionate						Passionate
80	7		Admiration						Admiring
81	7		Warm						Warm
82	7		Touched						Touched
83	7		Sympathy						Sympathy
84	7		Close						Close
85	7		Loved						Loved
86	7		Comforted						Comforted
87	7		Drawn toward						Drawn toward
88	8		Concerned						Concerned
89	8		Affected						Affected
90	8		Fascinated						Fascinated
91	8		Intrigued						Intrigued
92	8		Absorbed						Absorbed
93	8		Inquisitive						Inquisitive
94	8		Nosy						Nosy
95	8		Snoopy						Snoopy
96	8		Engrossed						Engrossed
97	8		Curious						Curious
98	9		Eager						Eager
99	9		Keen						Keen
100	9		Earnest						Earnest
101	9		Intent						Intent
102	9		Anxious						Anxious
103	9		Inspired						Inspired
104	9		Determined						Determined
105	9		Excited						Excited
106	9		Enthusiastic						Enthusiastic
107	9		Bold						Bold
108	9		Brave						Brave
109	9		Daring						Daring
110	9		Challenged						Challenged
111	9		Optimistic						Optimistic
112	9		Re-enforced						Re-enforced
113	9		Confident						Confident
114	9		Hopeful						Hopeful
115	10		Impulsive						Impulsive
116	10		Free						Free
117	10		Sure						Sure
118	10		Certain						Certain
119	10		Rebellious						Rebellious
120	10		Unique						Unique
